state,x,y
Andhra Pradesh,-83,-152
Arunachal Pradesh,251,170
Assam,191,122
Bihar,66,98
Chhattisgarh,-21,-3
Goa,-190,-141
Gujarat,-229,36
Haryana,-138,183
Himachal Pradesh,-112,245
Jharkhand,52,51
Karnataka,-153,-157
Kerala,-138,-258
Madhya Pradesh,-98,40
Maharashtra,-159,-53
Manipur,241,85
Meghalaya,186,99
Mizoram,221,51
Nagaland,258,118
Odisha,35,-20
Punjab,-151,219
Rajasthan,-188,121
Sikkim,121,148
Tamil Nadu,-94,-240
Telangana,-82,-84
Tripura,195,60
Uttar Pradesh,-34,121
Uttarakhand,-71,201
West Bengal,104,43
